ID,Year,First Name,Middle Name,Last Name,Full Name,party,Level,Position,state,District,race_ethnicity,STATEFP,Congress,GEOID
283894k,2017,Martha,,Roby,Martha Roby,Republican,Congress,U.S. Representative,Alabama - AL,2,White,1,115,0102
283894k,2020,Martha,,Roby,Martha Roby,Republican,Congress,U.S. Representative,Alabama - AL,2,White,1,116,0102
283894k,2019,Martha,,Roby,Martha Roby,Republican,Congress,U.S. Representative,Alabama - AL,2,White,1,116,0102
283894k,2018,Martha,,Roby,Martha Roby,Republican,Congress,U.S. Representative,Alabama - AL,2,White,1,115,0102
283908k,2017,Terri,A.,Sewell,Terri Sewell,Democrat,Congress,U.S. Representative,Alabama - AL,7,Black,1,115,0107
283908k,2020,Terri,A.,Sewell,Terri Sewell,Democrat,Congress,U.S. Representative,Alabama - AL,7,Black,1,116,0107
283908k,2019,Terri,A.,Sewell,Terri Sewell,Democrat,Congress,U.S. Representative,Alabama - AL,7,Black,1,116,0107
283908k,2022,Terri,A.,Sewell,Terri Sewell,Democrat,Congress,U.S. Representative,Alabama - AL,7,Black,1,117,0107
283908k,2018,Terri,A.,Sewell,Terri Sewell,Democrat,Congress,U.S. Representative,Alabama - AL,7,Black,1,115,0107
283908k,2021,Terri,A.,Sewell,Terri Sewell,Democrat,Congress,U.S. Representative,Alabama - AL,7,Black,1,117,0107
283908k,2023,Terri,A.,Sewell,Terri Sewell,Democrat,Congress,U.S. Representative,Alabama - AL,7,Black,1,118,0107
803941k,2022,Mary,,Peltola,Mary Peltola,Democrat,Congress,U.S. Representative,Alaska - AK,0,Native American/Alaska Native/Native Hawaiian,2,117,0200
803941k,2023,Mary,,Peltola,Mary Peltola,Democrat,Congress,U.S. Representative,Alaska - AK,0,Native American/Alaska Native/Native Hawaiian,2,118,0200
227470k,2019,Ann,L.,Kirkpatrick,Ann Kirkpatrick,Democrat,Congress,U.S. Representative,Arizona - AZ,2,White,4,116,0402
227470k,2022,Ann,L.,Kirkpatrick,Ann Kirkpatrick,Democrat,Congress,U.S. Representative,Arizona - AZ,2,White,4,117,0402
227470k,2021,Ann,L.,Kirkpatrick,Ann Kirkpatrick,Democrat,Congress,U.S. Representative,Arizona - AZ,2,White,4,117,0402
227470k,2020,Ann,L.,Kirkpatrick,Ann Kirkpatrick,Democrat,Congress,U.S. Representative,Arizona - AZ,2,White,4,116,0402
267627k,2018,Debbie,,Lesko,Debbie Lesko,Republican,Congress,U.S. Representative,Arizona - AZ,8,White,4,115,0408
267627k,2021,Debbie,,Lesko,Debbie Lesko,Republican,Congress,U.S. Representative,Arizona - AZ,8,White,4,117,0408
267627k,2020,Debbie,,Lesko,Debbie Lesko,Republican,Congress,U.S. Representative,Arizona - AZ,8,White,4,116,0408
267627k,2019,Debbie,,Lesko,Debbie Lesko,Republican,Congress,U.S. Representative,Arizona - AZ,8,White,4,116,0408
267627k,2022,Debbie,,Lesko,Debbie Lesko,Republican,Congress,U.S. Representative,Arizona - AZ,8,White,4,117,0408
401802k,2018,Martha,,McSally,Martha McSally,Republican,Congress,U.S. Representative,Arizona - AZ,2,White,4,115,0402
